"Code Pays";"Code Voyage";"Intitulé";"Durée (jours)";"Description";"Résidence"
"BOL";"BOL242";"La Paz, l'éternelle";"11";"Destination majeure en Bolivie, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Bungalow luxueux avec piscine"
"BOL";"BOL403";"Bolivie: bien plus que La Paz";"21";"Découvrez une autre facette de la vie en Bolivie. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux avec piscine"
"BOT";"BOT257";"Gaborone, l'éternelle";"18";"Destination majeure en Botswana, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 4 étoiles avec accès direct sur la plage"
"BOT";"BOT305";"Séjour vert en Botswana";"16";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 4 étoiles"
"BRE";"BRE195";"Brasilia: ville incroyable";"13";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles avec piscine"
"BRE";"BRE296";"Séjour vert en Brésil";"14";"Découvrez une autre facette de la vie en Brésil. Rapprochez-vous de la nature spécifique du lieu. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux avec accès direct sur la plage"
"BUL";"BUL240";"Sofia: ville incroyable";"11";"Sofia est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles avec piscine"
"BUL";"BUL402";"Bulgarie: bien plus que Sofia";"11";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux avec piscine"
"BUR";"BUR221";"Ouagadougou: ville incroyable";"8";"Ouagadougou est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles avec piscine"
"BUR";"BUR309";"Burkina Faso autrement";"11";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel dans un parc arboré"
"CAI";"CAI211";"George Town, l'éternelle";"7";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles dans un parc arboré"
"CAI";"CAI284";"Séjour vert en Caïmans";"12";"Non loin de George Town, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 4 étoiles avec piscine"
"CAM";"CAM290";"Phom Penh: ville incroyable";"16";"Destination majeure en Cambodge, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Chalet individuel avec piscine"
"CAM";"CAM439";"Cambodge: bien plus que Phom Penh";"18";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 5 étoiles dans un parc arboré"
"CAN";"CAN269";"Ottawa, l'éternelle";"15";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Bungalow luxueux dans un parc arboré"
"CAN";"CAN420";"Canada autrement";"16";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux avec piscine"
"CHL";"CHL175";"Découverte de Santiago";"19";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles dans un parc arboré"
"CHL";"CHL258";"Chili autrement";"13";"Découvrez une autre facette de la vie en Chili. Rapprochez-vous de la nature spécifique du lieu. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux avec piscine"
"CHI";"CHI195";"Pékin: ville incroyable";"12";"Pékin est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles avec piscine"
"CHI";"CHI374";"Chine: bien plus que Pékin";"21";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 4 étoiles dans un parc arboré"
"TAI";"TAI130";"Taïpei: ville incroyable";"19";"Taïpei est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 4 étoiles"
"TAI";"TAI308";"Taïwan autrement";"18";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 4 étoiles dans un parc arboré"
"CHY";"CHY239";"Nicosie: ville incroyable";"13";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel avec piscine"
"CHY";"CHY264";"Chypre autrement";"7";"Découvrez une autre facette de la vie en Chypre. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 5 étoiles avec piscine"
"COL";"COL173";"Santa Fé de Bogotà, l'éternelle";"21";"Santa Fé de Bogotà est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Chalet individuel avec accès direct sur la plage"
"COL";"COL205";"Colombie autrement";"8";"Découvrez une autre facette de la vie en Colombie. Rapprochez-vous de la nature spécifique du lieu. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Chalet individuel avec accès direct sur la plage"
"COR";"COR273";"Découverte de Séoul";"8";"Destination majeure en Corée du Su, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles dans un parc arboré"
"COR";"COR424";"Séjour vert en Corée du Su";"11";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Bungalow luxueux"
"COS";"COS299";"San José: ville incroyable";"16";"San José est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel dans un parc arboré"
"COS";"COS456";"Costa Rica: bien plus que San José";"18";"Découvrez une autre facette de la vie en Costa Rica. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux"
"COT";"COT210";"Découverte de Yamoussoukro";"14";"Destination majeure en Côte d'Ivoire, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel avec accès direct sur la plage"
"COT";"COT331";"Côte d'Ivoire autrement";"8";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Chalet individuel"
"CRO";"CRO293";"Zagreb: ville incroyable";"15";"Destination majeure en Croatie, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 5 étoiles avec accès direct sur la plage"
"CRO";"CRO391";"Croatie: bien plus que Zagreb";"18";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Chalet individuel dans un parc arboré"
"CUB";"CUB262";"Découverte de La Havane";"12";"La Havane est la destination de vos rêves. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 5 étoiles avec piscine"
"CUB";"CUB377";"Cuba autrement";"20";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel dans un parc arboré"
"DAN";"DAN146";"Copenhague, l'éternelle";"13";"Copenhague est la destination de vos rêves. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel"
"DAN";"DAN316";"Danemark: bien plus que Copenhague";"19";"Découvrez une autre facette de la vie en Danemark. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec accès direct sur la plage"
"DJI";"DJI235";"Découverte de Djibouti";"14";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles avec piscine"
"DJI";"DJI281";"Djibouti: bien plus que Djibouti";"12";"Découvrez une autre facette de la vie en Djibouti. Rapprochez-vous de la nature spécifique du lieu. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Chalet individuel"
"DOM";"DOM215";"Saint Domingue: ville incroyable";"16";"Destination majeure en Rép. Dominicaine, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Bungalow luxueux dans un parc arboré"
"DOM";"DOM362";"Rép. Dominicaine: bien plus que Saint Domingue";"10";"Non loin de Saint Domingue, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux dans un parc arboré"
"EGY";"EGY211";"Le Caire: ville incroyable";"18";"Le Caire est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 4 étoiles dans un parc arboré"
"EGY";"EGY311";"Egypte autrement";"19";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Chalet individuel"
"EQU";"EQU193";"Quito: ville incroyable";"20";"Quito est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 4 étoiles"
"EQU";"EQU334";"Equateur: bien plus que Quito";"18";"Non loin de Quito, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 5 étoiles avec piscine"
"ESP";"ESP227";"Découverte de Madrid";"13";"Madrid est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Bungalow luxueux dans un parc arboré"
"ESP";"ESP253";"Espagne: bien plus que Madrid";"10";"Non loin de Madrid, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Chalet individuel"
"EST";"EST295";"Découverte de Talinn";"10";"Destination majeure en Estonie, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Bungalow luxueux dans un parc arboré"
"EST";"EST386";"Séjour vert en Estonie";"21";"Non loin de Talinn, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 5 étoiles avec piscine"
"USA";"USA242";"Washington: ville incroyable";"21";"Washington est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 4 étoiles avec accès direct sur la plage"
"USA";"USA316";"Etats-Unis: bien plus que Washington";"18";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 5 étoiles"
"FAL";"FAL160";"Stanley, l'éternelle";"9";"Destination majeure en Iles Falkland, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles avec accès direct sur la plage"
"FAL";"FAL260";"Séjour vert en Iles Falkland";"10";"Non loin de Stanley, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 5 étoiles avec accès direct sur la plage"
"FIN";"FIN162";"Helsinki, l'éternelle";"9";"Helsinki est la destination de vos rêves. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Bungalow luxueux avec accès direct sur la plage"
"FIN";"FIN272";"Finlande: bien plus que Helsinki";"14";"Découvrez une autre facette de la vie en Finlande. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux dans un parc arboré"
"FRA";"FRA218";"Paris, l'éternelle";"18";"Paris est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Chalet individuel avec accès direct sur la plage"
"FRA";"FRA410";"France autrement";"18";"Découvrez une autre facette de la vie en France. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 4 étoiles avec accès direct sur la plage"
"GRE";"GRE144";"Découverte de Athène";"19";"Destination majeure en Grèce, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles"
"GRE";"GRE171";"Grèce autrement";"14";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 5 étoiles avec piscine"
"GUA";"GUA202";"Guatemala: ville incroyable";"21";"Guatemala est la destination de vos rêves. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles avec accès direct sur la plage"
"GUA";"GUA232";"Séjour vert en Guatemala";"16";"Découvrez une autre facette de la vie en Guatemala. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 5 étoiles"
"HON";"HON195";"Découverte de Budapest";"8";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Bungalow luxueux avec accès direct sur la plage"
"HON";"HON228";"Hongrie autrement";"19";"Non loin de Budapest, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux"
"IND";"IND204";"Nex Delhi, l'éternelle";"17";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles avec accès direct sur la plage"
"IND";"IND294";"Inde: bien plus que Nex Delhi";"13";"Découvrez une autre facette de la vie en Inde. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux avec accès direct sur la plage"
"IRL";"IRL199";"Dublin: ville incroyable";"12";"Dublin est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 4 étoiles avec piscine"
"IRL";"IRL313";"Séjour vert en Irlande";"12";"Non loin de Dublin, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Chalet individuel avec accès direct sur la plage"
"ISL";"ISL278";"Découverte de Reykjavik";"15";"Reykjavik est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel avec piscine"
"ISL";"ISL415";"Islande autrement";"9";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux avec piscine"
"ISR";"ISR119";"Jérusalem: ville incroyable";"21";"Jérusalem est la destination de vos rêves. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles avec accès direct sur la plage"
"ISR";"ISR180";"Séjour vert en Israël";"13";"Découvrez une autre facette de la vie en Israël. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 4 étoiles avec piscine"
"ITA";"ITA288";"Rome: ville incroyable";"20";"Destination majeure en Italie, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 5 étoiles avec piscine"
"ITA";"ITA470";"Italie: bien plus que Rome";"18";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel dans un parc arboré"
"JAM";"JAM121";"Kingston, l'éternelle";"9";"Destination majeure en Jamaïque, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Bungalow luxueux avec piscine"
